ge,cst,ms,fmi,fs,fo,mo,nf,sh,ss,me,atd
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Small,Poor,Govt,Eng,Average
M,MOBC,Unmarried,Medium,Average,Farmer,Service,Small,Average,Govt,Asm,Average
M,G,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Good
M,G,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Average
M,OBC,Unmarried,Low,Small,Service,Service,Large,Average,Govt,Asm,Poor
M,G,Unmarried,Medium,Small,Service,Housewife,Average,Average,Govt,Asm,Poor
M,MOBC,Unmarried,Medium,Small,Service,Housewife,Large,Average,Private,Asm,Average
M,OBC,Unmarried,Medium,Small,Others,Service,Average,Poor,Govt,Asm,Poor
F,OBC,Unmarried,High,Small,Service,Service,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Average,Average,Govt,Asm,Average
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,ST,Unmarried,Low,Small,Farmer,Housewife,Small,Poor,Govt,Asm,Poor
M,ST,Unmarried,Medium,Small,Retired,Housewife,Average,Average,Govt,Asm,Poor
F,G,Unmarried,Medium,Small,Business,Housewife,Average,Average,Private,Asm,Good
F,G,Unmarried,Low,Small,Others,Housewife,Average,Poor,Govt,Asm,Average
F,G,Unmarried,Medium,Average,Business,Housewife,Average,Good,Govt,Asm,Average
M,G,Unmarried,Low,Small,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,G,Unmarried,High,Small,Others,Housewife,Average,Average,Govt,Asm,Average
M,OBC,Unmarried,Medium,Small,Others,Housewife,Average,Average,Private,Asm,Average
M,G,Unmarried,Am,Small,Service,Housewife,Average,Average,Govt,Asm,Average
F,G,Unmarried,Medium,Small,Farmer,Housewife,Small,Poor,Govt,Asm,Good
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Service,Housewife,Average,Poor,Govt,Asm,Poor
M,OBC,Unmarried,Am,Average,Business,Housewife,Average,Good,Govt,Eng,Average
M,OBC,Unmarried,Medium,Average,Service,Housewife,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Service,Housewife,Small,Average,Govt,Eng,Good
M,G,Unmarried,Low,Small,Service,Housewife,Small,Average,Govt,Asm,Poor
M,MOBC,Unmarried,High,Small,Farmer,Housewife,Average,Poor,Govt,Asm,Average
F,OBC,Unmarried,Am,Large,Farmer,Housewife,Small,Average,Govt,Asm,Good
M,ST,Unmarried,Low,Average,Service,Housewife,Average,Average,Govt,Asm,Average
M,G,Unmarried,Medium,Small,Business,Housewife,Average,Average,Govt,Asm,Average
